,,,,,,,,,,
наплевать в лицо,1. Ему наплевать в лицо на чужие чувства и эмоции.,,,,,,,,,
наплевать в лицо,2. Она наплевала в лицо на свои обещания и не выполнила обещанное.,,,,,,,,,
наплевать в лицо,"3. Когда я попросил его о помощи, он наплевал в лицо и отвернулся.",,,,,,,,,
наплевать в лицо,4. Он наплевал в лицо на мои предупреждения и попал в беду.,,,,,,,,,
наплевать в лицо,5. Наплевать в лицо на правила — это знак плохого воспитания.,,,,,,,,,
наплевать в лицо,"6. Когда я высказал свою точку зрения, он просто наплевал в лицо.",,,,,,,,,
наплевать в лицо,7. Она наплевала в лицо на наши просьбы и продолжала по своему.,,,,,,,,,
наплевать в лицо,8. Наплевать в лицо на советы — это путь к ошибкам.,,,,,,,,,
наплевать в лицо,9. Почему ты всегда наплеваешь в лицо на мои чувства?,,,,,,,,,
наплевать в лицо,"10. Не стоит наплевывать в лицо на свое здоровье, это — глупо.",,,,,,,,,
наплевать в лицо,11. Он наплевал в лицо на требования и получил соответствующее наказание.,,,,,,,,,
наплевать в лицо,12. Она наплевала в лицо на мое предложение и приняла неправильное решение.,,,,,,,,,
наплевать в лицо,13. Наплевать в лицо на будущее — это несерьезно.,,,,,,,,,
наплевать в лицо,14. Он наплевал в лицо на мои советы и в итоге пожалел об этом.,,,,,,,,,
наплевать в лицо,"15. Мы не должны наплевывать в лицо на старших, они имеют больше опыта.",,,,,,,,,
наплевать в лицо,16. Не стоит наплевывать в лицо на опыт других людей.,,,,,,,,,
наплевать в лицо,17. Он наплевал в лицо на требования родителей и потерял их доверие.,,,,,,,,,
наплевать в лицо,18. Наплевать в лицо на ответственность — это действовать эгоистично.,,,,,,,,,
наплевать в лицо,"19. Когда он наплевал в лицо на предупреждения, у него случились проблемы.",,,,,,,,,
наплевать в лицо,20. Наплевать в лицо на просьбы окружающих — это проявление неуважения.,,,,,,,,,
дело жизни и смерти,1. Для него каждый матч — это дело жизни и смерти.,,,,,,,,,
дело жизни и смерти,"2. Врачи работают над этим случаем, понимая, что это для пациента дело жизни и смерти.",,,,,,,,,
дело жизни и смерти,3. Подготовка к экзамену стала для нее делом жизни и смерти.,,,,,,,,,
дело жизни и смерти,4. Война превратилась для многих людей в дело жизни и смерти.,,,,,,,,,
дело жизни и смерти,"5. Он считал, что любовь — это дело жизни и смерти.",,,,,,,,,
дело жизни и смерти,6. Для него каждая сделка на бирже — дело жизни и смерти.,,,,,,,,,
дело жизни и смерти,7. Для многих людей выбор места для отдыха становится делом жизни и смерти.,,,,,,,,,
дело жизни и смерти,8. Для родителей поиск пропавшего ребенка стал делом жизни и смерти.,,,,,,,,,
дело жизни и смерти,9. Спасение этого проекта стало для компании делом жизни и смерти.,,,,,,,,,
дело жизни и смерти,10. В странах третьего мира получить доступ к чистой воде — это дело жизни и смерти.,,,,,,,,,
дело жизни и смерти,11. Для спасателей каждая минута при пожаре — это дело жизни и смерти.,,,,,,,,,
дело жизни и смерти,12. Принятие правильного решения в критической ситуации становится делом жизни и смерти.,,,,,,,,,
дело жизни и смерти,13. В некоторых областях борьба с коррупцией стала делом жизни и смерти.,,,,,,,,,
дело жизни и смерти,14. Для некоторых людей сохранение своей репутации — это дело жизни и смерти.,,,,,,,,,
дело жизни и смерти,15. Для атлетов каждое соревнование — это дело жизни и смерти.,,,,,,,,,
дело жизни и смерти,16. В экстренных ситуациях оперативность действий становится делом жизни и смерти.,,,,,,,,,
дело жизни и смерти,17. Во время голода для людей поиск пищи становится делом жизни и смерти.,,,,,,,,,
дело жизни и смерти,18. В борьбе с терроризмом каждое преследование подозреваемого — это дело жизни и смерти.,,,,,,,,,
дело жизни и смерти,19. Для многих животных выживание зимой — это дело жизни и смерти.,,,,,,,,,
дело жизни и смерти,"20. Для семей, живущих в бедности, каждый заработанный цент — это дело жизни и смерти.",,,,,,,,,
гром и молния,"1. Его выступление на сцене было громом и молнией, заставившим зрителей восторженно аплодировать.",,,,,,,,,
гром и молния,"2. Когда он вошел в комнату, его присутствие было как гром и молния, все сразу обратили на него внимание.",,,,,,,,,
гром и молния,"3. Его яркая личность всегда была как гром и молния, привлекая внимание всех вокруг.",,,,,,,,,
гром и молния,4. Эта неожиданная новость стала громом и молнией для всех присутствующих на встрече.,,,,,,,,,
гром и молния,"5. Когда она вышла замуж за иностранца, это стало громом и молнией для всей ее семьи.",,,,,,,,,
гром и молния,6. Его предложение сделать большую покупку стало громом и молнией для всех сотрудников компании.,,,,,,,,,
гром и молния,"7. После его неожиданного появления в нашем городе, это стало для всех громом и молнией.",,,,,,,,,
гром и молния,"8. Его жесткая критика стала громом и молнией для всех, кто был причастен к проекту.",,,,,,,,,
гром и молния,"9. Ее карьерный рост был как гром и молния для многих, кто с ней соперничал.",,,,,,,,,
гром и молния,"10. После того, как он рассказал правду, это стало громом и молнией для всех присутствующих на собрании.",,,,,,,,,
гром и молния,"11. Его кампания в социальных сетях была как гром и молния, привлекая внимание миллионов пользователей.",,,,,,,,,
гром и молния,12. Появление нового конкурента на рынке стало громом и молнией для старых игроков.,,,,,,,,,
гром и молния,13. Известие о его победе стало громом и молнией для всех его соперников.,,,,,,,,,
гром и молния,14. Его новый стиль одежды был громом и молнией среди его друзей.,,,,,,,,,
гром и молния,"15. Когда он объявил о своем уходе, это стало громом и молнией для всего коллектива.",,,,,,,,,
гром и молния,16. Его выступление на сцене оказалось громом и молнией среди других артистов.,,,,,,,,,
гром и молния,"17. После его предложения переехать за границу, это стало громом и молнией для его родителей.",,,,,,,,,
гром и молния,"18. Его внезапное появление на вечеринке было как гром и молния, разбудившие скучающих гостей.",,,,,,,,,
гром и молния,19. Новость о его увольнении стала громом и молнией для его коллег.,,,,,,,,,
гром и молния,"20. Его остроумные комментарии на встрече были как гром и молния, освежившие обстановку.",,,,,,,,,
впиваться глазами,"1. Он впивался глазами в экран компьютера, пытаясь разгадать таинственные символы.",,,,,,,,,
впиваться глазами,"2. Когда она вошла в комнату, все присутствующие впились глазами в ее изысканное платье.",,,,,,,,,
впиваться глазами,"3. В тот момент, когда она встретилась с его взглядом, он впился в нее глазами, словно хотел прочитать ее мысли.",,,,,,,,,
впиваться глазами,"4. Впиваясь глазами в странный звук из темноты, он пытался понять, что это могло быть.",,,,,,,,,
впиваться глазами,"5. Ее удивление было явным, когда он впился глазами в ее лицо и промолчал.",,,,,,,,,
впиваться глазами,"6. Она впивалась глазами в море, пытаясь разглядеть силуэт парусников на горизонте.",,,,,,,,, 
впиваться глазами,"7. Он впился глазами в картины в музее, увлеченно воспринимая каждую деталь.",,,,,,,,,
впиваться глазами,"8. Когда она начала рассказывать свою историю, все присутствующие впились в нее глазами, слушая с вниманием.",,,,,,,,,
впиваться глазами,9. Научный эксперимент заставил всех ученых впиться глазами в результаты исследования.,,,,,,,,,
впиваться глазами,"10. После того как она выиграла главный приз, все впились глазами в нее, оценивая ее удачу.",,,,,,,,,
впиваться глазами,"11. Когда музыкант начал играть на сцене, публика впилась глазами в него, восхищенно слушая его музыку.",,,,,,,,,
впиваться глазами,"12. Он впился глазами в инструкцию, стараясь разобраться в сложных технических деталях.",,,,,,,,,
впиваться глазами,"13. Студенты впились глазами в экран, участвуя в интерактивном уроке.",,,,,,,,,
впиваться глазами,"14. Впившись глазами в небо, она пыталась разглядеть созвездия.",,,,,,,,,
впиваться глазами,"15. Он впился глазами в книгу, поглощенный увлекательным сюжетом.",,,,,,,,,
впиваться глазами,"16. Когда она вошла в аудиторию, все студенты впились глазами в нее, ожидая начала лекции.",,,,,,,,,
